TFBS,peak_count,Numberof PostivePeaksForFinetuning,Type,Accuracy,Precision,Recall,Specificity,F1-score,MCC,ROC-AUC,PR-AUC
C11orf30,58686,50000,TF,95.13,94.2,95.78,94.11,94.98,89.91,98.63,98.61
FUS,7495,7495,TF; RBP,95.03,97.88,89.98,98.62,93.76,89.87,94.87,93.76
USF1,60863,50000,TF,94.95,94.54,95.31,94.46,94.93,89.78,98.05,97.78
ZNF770,57572,50000,TF,94.91,93.38,96.7,93.1,95.01,89.87,98.04,97.28
AGO1,16201,16201,TF; RBP,94.81,94.46,91.56,96.77,92.98,88.9,97.19,96.16
MAFG,44030,44030,TF,94.74,93.31,96.13,93.41,94.7,89.52,97.91,97.78
ZFHX2,61052,50000,TF,94.73,99.1,99.32,99.09,99.21,98.41,99.82,99.74
THAP1,5210,5210,TF,94.7,95.51,93.48,95.85,94.48,89.39,98.22,97.82
HES2,6520,6520,TF,94.55,79.76,89.48,95.53,84.34,81.24,97.15,84.39
SRSF1,9933,9933,TF; RBP,94.49,93.71,93.46,95.26,93.59,88.75,98.34,97.9
NFE2,53717,50000,TF,94.22,99.17,99.21,99.18,99.19,98.39,99.76,99.72
MITF,36171,36171,TF,94.14,92.66,94.51,93.81,93.57,88.18,98.35,98.12
MAFF,65684,50000,TF,93.91,93.08,94.77,93.07,93.91,87.84,97.86,97.17
PCBP2,5328,5328,TF; RBP,93.89,95.88,90.73,96.73,93.23,87.96,96.53,96.61
ZIC2,56766,50000,TF,93.77,92.6,95.24,92.25,93.9,87.55,97.82,96.94
GLIS2,33566,33566,TF,93.74,93.75,92.54,94.85,93.14,87.49,98.22,97.8
ZNF121,35805,35805,TF,93.64,98.9,98.83,98.97,98.86,97.8,99.34,99.26
SP2,27956,27956,TF,93.6,94.08,92.19,94.85,93.13,87.16,96.81,95.36
SCRT2,59462,50000,TF,93.59,98.83,99.11,98.82,98.97,97.93,99.56,99.17
BATF,36658,36658,TF,93.58,91.97,95.76,91.56,93.82,87.41,98.16,97.93
HNRNPL,24447,24447,TF; RBP,93.57,92.96,91.63,94.97,92.29,86.79,97.59,96.88
NFE2L2,26392,26392,TF,93.53,91.51,91.02,95,91.27,86.12,97.24,96.09
ZNF585B,7381,7381,TF,93.43,93.06,93.74,93.23,93.4,86.96,97.78,98
NFYB,14696,14696,TF,93.31,92.49,90.91,94.98,91.7,86.13,96.3,95.22
ZSCAN4,23997,23997,TF,93.25,94.54,90.97,95.29,92.72,86.48,97.64,97.75
ZNF316,97518,50000,TF,93.22,91.56,95.38,91.01,93.43,86.51,97.42,97.55
ZNF140,7623,7623,TF,93.19,94.84,90.83,95.39,92.79,86.41,96.45,96.93
ZNF777,7181,7181,TF,93.12,95.31,90.01,96.01,92.58,86.37,97.24,97.07
CBFA2T2,32239,32239,TF,93.06,91.99,94.21,91.92,93.09,86.14,97.31,97.25
TFAP4,27035,27035,TF,93,91.68,94.03,92.05,92.84,86.03,96.79,94.97
ATF4,39441,39441,TF,93,92.57,93.11,92.85,92.84,85.96,97.72,97.64
CTBP2,7351,7351,TF,92.98,92.23,92.48,93.62,92.36,86.08,96.78,94.11
MXD3,14677,14677,TF,92.88,91.73,92.44,93.14,92.08,85.52,98.24,97.87
E2F1,18927,18927,TF,92.88,89.51,83.5,96.37,86.4,81.68,95.25,91.61
ZNF202,6476,6476,TF,92.87,92.35,93.39,92.35,92.87,85.74,96.29,96.5
ZNF266,5097,5097,TF,92.84,92.81,92.31,93.46,92.56,85.79,96.93,96.93
ZNF263,35011,35011,TF,92.83,91.81,91.07,94.11,91.44,85.28,97.39,96.16
ZNF433,3530,3530,TF,92.77,95.18,89.94,95.54,92.49,85.66,96.97,97.7
RBM39,29478,29478,TF; RBP,92.73,91.83,91.4,93.74,91.61,85.19,97.44,96.77
ZNF680,10483,10483,TF,92.69,92.36,92.12,92.92,92.24,85.05,97.36,97.68
ZNF341,33413,33413,TF,92.66,91.47,93.01,92.39,92.24,85.33,97.24,96.26
E2F4,11270,11270,TF,92.64,96.23,85.89,97.54,90.76,85.03,97.32,97.07
CBFA2T3,51994,50000,TF,92.59,91.63,93.73,91.47,92.67,85.22,96.97,96.03
ZNF555,6664,6664,TF,92.57,98.44,86.75,98.58,92.23,85.79,94.78,96.56
RBM25,47193,47193,TF; RBP,92.56,91.71,93.26,91.87,92.48,85.12,96.96,97.05
MAFK,121216,50000,TF,92.55,91.53,93.8,91.27,92.65,85.11,97.36,97.6
ZNF623,14353,14353,TF,92.53,93.83,90.6,94.28,92.19,84.99,96.77,97.51
KAT2A,171,171,TF,92.45,95.45,87.5,96.55,91.3,84.91,92.39,92.84
SIN3B,11700,11700,TF,92.45,95.47,85.65,97.13,90.29,84.38,97.21,96.89
CEBPA,57842,50000,TF,92.39,98.46,99.33,98.44,98.89,97.78,99.7,99.6
U2AF2,2777,2777,TF; RBP,92.37,92.05,91.39,93.21,91.72,84.64,96.2,94.8
ZBTB10,15441,15441,TF,92.27,92.94,89.74,94.36,91.31,84.39,96.02,94.41
PBX3,12981,12981,TF,92.25,93.02,91.45,93.06,92.23,84.52,96.51,95.35
SAP30,15727,15727,TF,92.08,91.36,88.94,94.46,90.13,83.8,96.21,92.3
PHF8,30275,30275,TF,92.03,94.66,83.37,97.19,88.66,82.94,96.25,95.67
PAX5,36090,36090,TF,92.02,89.6,91.96,92.06,90.77,83.76,96.81,94.42
ZNF785,6605,6605,TF,92.01,93.06,89.7,94.05,91.35,83.97,97.35,97.16
ZNF76,11676,11676,TF,92,91.96,89.96,93.65,90.95,83.8,93.83,89.14
HNF4G,35204,35204,TF,91.93,89.61,92.16,91.73,90.87,83.65,96.43,95.82
AHR,10611,10611,TF,91.82,91.59,91.19,92.39,91.39,83.6,97.21,96.43
ZC3H11A,9905,9905,TF; RBP,91.8,94.68,88.2,95.25,91.33,83.76,96.31,97.12
RFX1,38873,38873,TF,91.79,91.53,89.29,93.66,90.4,83.21,96.44,96.43
SMAD4,43342,43342,TF,91.75,90.15,93.3,90.29,91.7,83.57,96.19,94.92
UBTF,19173,19173,TF,91.73,91.83,86.45,95.12,89.06,82.55,94.72,91.45
ZNF704,1834,1834,TF,91.71,92.97,88.81,93.98,90.84,83.05,94.66,94.52
TAL1,36574,36574,TF,91.69,90.24,90.07,92.89,90.15,82.98,96.07,95.03
ZBTB7A,37497,37497,TF,91.69,90.69,89.75,93.14,90.22,83.01,97.14,95.99
CEBPB,148540,50000,TF,91.69,98.12,98.83,98.08,98.47,96.92,99.54,99.42
NFIL3,38852,38852,TF,91.67,90.17,92.91,90.46,91.52,83.33,96.42,96
XRCC5,32847,32847,TF; RBP,91.61,90.32,89.77,92.96,90.04,82.79,95.9,93.22
U2AF1,8379,8379,TF; RBP,91.6,93.1,86.95,95.12,89.92,82.87,96.08,96
ZNF34,9650,9650,TF,91.58,94.9,88.04,95.26,91.34,83.51,95.28,96.71
FOXP2,24150,24150,TF,91.57,90.09,91.48,91.65,90.78,83.03,96.14,93.84
AGO2,33079,33079,TF; RBP,91.55,94.29,84.74,96.37,89.26,82.65,95.16,94.66
RUNX3,69903,50000,TF,91.53,98.39,98.9,98.39,98.64,97.29,99.5,99.27
ZBED5,5100,5100,TF,91.49,91.37,91.49,91.5,91.43,82.99,97.14,96.94
RARA,42489,42489,TF,91.46,89.31,93.98,88.99,91.59,83.04,95.97,94.89
FOS,169317,50000,TF,91.45,98.66,98.72,98.65,98.69,97.37,99.62,99.63
SP3,23619,23619,TF,91.44,92.16,88.37,93.95,90.22,82.71,95.27,94.77
NANOG,15681,15681,TF,91.43,89.59,91.31,91.53,90.45,82.7,95.72,94.36
USF2,37240,37240,TF,91.39,91.53,87.87,93.97,89.66,82.32,96.88,96.27
SP5,23155,23155,TF,91.37,90.58,91.66,91.11,91.12,82.74,95.54,94.28
HNF4A,89892,50000,TF,91.37,88.79,94.67,88.09,91.63,82.93,96.12,95.11
ZNF354C,1640,1640,TF,91.37,97.64,84.49,98.02,90.59,83.43,95.08,96.39
ZNF444,25366,25366,TF,91.35,91.14,90.47,92.12,90.8,82.63,95.64,94.38
GMEB2,4800,4800,TF,91.33,95.33,85.61,96.28,90.21,82.75,95.76,95.89
ZNF677,5777,5777,TF,91.33,91.45,91.25,91.06,91.35,82.3,94.68,94.52
IRF4,21810,21810,TF,91.18,89.45,92.89,89.48,91.14,82.36,96.12,95.26
ETV5,29604,29604,TF,91.18,88.66,93.25,89.33,90.89,82.45,96.55,95.11
PRPF4,8605,8605,TF; RBP,91.14,93.15,86.65,94.84,89.78,82.19,96.21,95.93
FOXA3,45297,45297,TF,91.12,89.55,93.46,89.43,91.46,82.91,96.8,96.6
ZNF292,1900,1900,TF,91.11,94.8,86.73,95,90.59,81.87,94.63,96.11
GLIS1,58506,50000,TF,91.07,89.4,90.8,89.45,90.1,80.25,96.04,95.32
FOXA2,99343,50000,TF,91.05,89.41,93.24,88.83,91.28,82.16,96.39,96.06
KLF9,32290,32290,TF,90.99,91.56,84.62,95.11,87.95,81.03,95.59,94.68
SOX5,37979,37979,TF,90.98,87.97,93.92,88.29,90.85,82.14,95.23,93.77
BCL6,38142,38142,TF,90.97,89.04,92.85,89.24,90.9,82.05,96.3,95.48
IRF3,5726,5726,TF,90.97,93.79,82.27,96.5,87.65,80.96,96.01,95.01
ZNF223,5176,5176,TF,90.97,90.49,90.72,91.07,90.6,81.79,95.52,95.63
HCFC1,19700,19700,TF,90.96,89.7,81.35,95.55,85.32,79.01,94.4,91.32
HNRNPH1,2446,2446,TF; RBP,90.85,91.27,88.28,92.99,89.75,81.53,96.02,95.65
DEAF1,3170,3170,TF; RBP,90.85,93.85,86.79,94.66,90.18,81.85,94.68,95.53
CEBPZ,1971,1971,TF; RBP,90.82,89.84,83.94,94.56,86.79,79.73,89.86,85.64
PTBP1,8063,8063,TF; RBP,90.8,89.3,90.48,91.12,89.88,81.51,94.48,89.35
STAT3,65231,50000,TF,90.79,91.01,90.61,91.03,90.81,81.64,96.82,96.85
KAT2B,3106,3106,TF,90.77,88.87,92.16,89.05,90.48,81.18,96.6,96.8
SOX13,48796,48796,TF,90.76,89.3,92.4,89.28,90.83,81.69,96.32,95.69
ZNF423,11299,11299,TF,90.75,91.53,89.15,92.3,90.32,81.55,94.63,93.05
STAT2,4303,4303,TF,90.73,87.93,91.05,90.49,89.46,81.24,95.84,93.72
MEIS2,52199,50000,TF,90.71,90.14,91.44,89.9,90.78,81.35,96.27,96.07
ATF2,110897,50000,TF,90.69,91.16,89.99,91.36,90.57,81.37,94.77,94.25
NFIA,27816,27816,TF,90.67,88.33,92.95,88.55,90.58,81.46,95.6,95.07
